ID,Grammatical_1,Ungrammatical_1,Grammatical_2,Ungrammatical_2,Notes,Extension_1,Extension_2
13,这是一架棕色的未完工的飞机。,这是一位棕色的未完工的飞机。,这是一位棕色的未完工的飞机。,这是一架棕色的未完工的飞机。,的机长,这是一位棕色的未完工的飞机的机长。,这是一架棕色的未完工的飞机的机长。
14,学生们在写一部复杂的戏剧。,学生们在写一篇复杂的戏剧。,学生们在写一篇复杂的戏剧。,学生们在写一部复杂的戏剧。,的读后感,学生们在写一篇复杂的戏剧的读后感。,学生们在写一部复杂的戏剧的读后感。
15,这是一架红色的火车。,这是一扇红色的火车。,这是一扇红色的窗户。,这是一架红色的窗户。,的窗户,这是一扇红色的火车的窗户。,这是一架红色的火车的窗户。
16,老师在责备三名淘气的学生。,老师在责备三只淘气的学生。,老师在责备三只淘气的宠物。,老师在责备三名淘气的宠物。,的宠物,老师在责备三只淘气的学生的宠物。,老师在责备三名淘气的学生的宠物。
17,她买过两杯热的咖啡。,她买过两个热的咖啡。,她买过两个热的杯子。,她买过两杯热的杯子。,的杯子,她买过两个热的咖啡的杯子。,她买过两杯热的咖啡的杯子。
18,孩子在卖五台结实的桌子。,孩子在卖五块结实的桌子。,孩子在卖五块结实的布。,孩子在卖五台结实的布。,的布,孩子在卖五块结实的桌子上的布。,孩子在卖五台结实的桌子上的布。
19,妈妈在做一张好看的纸。,妈妈在做一个好看的纸。,妈妈在做一个好看的图案。,妈妈在做一张好看的图案。,上的图案,妈妈在做一个好看的纸上的图案。,妈妈在做一张好看的纸上的图案。
20,爸爸买了一栋海边的房子。,爸爸买了一条海边的房子。,爸爸买了一条方形的沙发。,爸爸买了一栋方形的沙发。,的沙发,爸爸买了一条海边的房子里的沙发。,爸爸买了一栋海边的房子里的沙发。
21,我想种一朵红色的玫瑰。,我想种一颗红色的玫瑰。,我想种一颗红色的种子。,我想种一朵红色的种子。,的种子,我想种一颗红色的玫瑰的种子。,我想种一朵红色的玫瑰的种子。
22,弟弟想起了一位忠诚的警官。,弟弟想起了一间忠诚的警官。,弟弟想起了一间凉爽的办公室。,弟弟想起了一位凉爽的办公室。,的办公室,弟弟想起了一间忠诚的警官的办公室。,弟弟想起了一位忠诚的警官的办公室。
23,这是一家新的商店。,这是一扇新的商店。,这是一扇新的大门。,这是一家新的大门。,的大门,这是一扇新的商店的大门。,这是一家新的商店的大门。
24,我拜访了这一所重要的美丽的高中。,我拜访了这一位重要的美丽的高中。,我拜访了这一位重要的美丽的老师。,我拜访了这一所重要的美丽的老师。,的老师,我拜访了这一位重要的美丽的高中的老师。,我拜访了这一所重要的美丽的高中的老师。
25,他在读一条很长的评论。,他在读一首很长的评论。,他在读一首很长的诗。,他在读一条很长的诗。,的诗,他在读一首很长的评论里的诗。,他在读一条很长的评论里的诗。
26,她从来没见过一头黄色的牛。,她从来没见过一双黄色的牛。,她从来没见过一双黄色的眼睛。,她从来没见过一头黄色的眼睛。,的眼睛,她从来没见过一双黄色的牛的眼睛。,她从来没见过一头黄色的牛的眼睛。
27,我还没有检查一份很难的作业。,我还没有检查一行很难的作业。,我还没有检查一行很难的公式。,我还没有检查一份很难的公式。,的公式,我还没有检查一行很难的作业里的公式。,我还没有检查一份很难的作业里的公式。
28,爷爷想起了一场惨烈的战争。,爷爷想起了一名惨烈的战争。,爷爷想起了一名已故的士兵。,爷爷想起了一场已故的士兵。,的士兵,爷爷想起了一名惨烈的战争中的士兵。,爷爷想起了一场惨烈的战争中的士兵。
29,护士做了一次必需的检查。,护士做了一篇必需的检查。,护士做了一篇必需的报告。,护士做了一次必需的报告。,的报告,护士做了一篇必需的检查的报告。,护士做了一次必需的检查的报告。
30,这里是两台最新的电视机。,这里是两份最新的电视机。,这里是两份最新的订单。,这里是两台最新的订单。,的订单,这里是两份最新的电视机的订单。,这里是两台最新的电视机的订单。
31,我记得一棵绿色的小树。,我记得一片绿色的小树。,我记得一片绿色的叶子。,我记得一棵绿色的叶子。,的叶子,我记得一片绿色的小树的叶子。,我记得一棵绿色的小树的叶子。
32,他很欣赏一个新建的环保的组织。,他很欣赏一位新建的环保的组织。,他很欣赏一位聪明的环保的领导人。,他很欣赏一个聪明的环保的领导人。,的领导人,他很欣赏一位新建的环保的组织的领导人。,他很欣赏一个新建的环保的组织的领导人。
33,那里有一支海上的舰队。,那里有一艘海上的舰队。,那里有一艘海上的船。,那里有一支海上的船。,的船,那里有一艘海上的舰队的船。,那里有一支海上的舰队的船。
34,他拍下了一只凶猛的老虎。,他拍下了一颗凶猛的老虎。,他拍下了一颗尖锐的牙齿。,他拍下了一只尖锐的牙齿。,的牙齿,他拍下了一颗凶猛的老虎的牙齿。,他拍下了一只凶猛的老虎的牙齿。
35,她提到了一座巨大的古城堡。,她提到了一面巨大的古城堡。,她提到了一面巨大的古墙。,她提到了一座巨大的古墙。,的墙,她提到了一面巨大的古城堡的墙。,她提到了一座巨大的古城堡的墙。
36,她拿了一份今天的饭。,她拿了一卷今天的饭。,她拿了一卷今天的手纸。,她拿了一份今天的手纸。,里工作的女人的家里,她来到了一名在美丽的办公楼里工作的女人的家里。,她来到了一栋在美丽的办公楼里工作的女人的家里。
37,我经常去一家有名的医院。,我经常去一座有名的医院。,我经常去一座有名的桥。,我经常去一家有名的桥。,里放的歌中提到的饭店,我经常去一首于室内的银行里放的歌中提到的饭店。,我经常去一家于室内的银行里放的歌中提到的饭店。
38,奶奶会去拜访两位重要的老朋友。,奶奶会去拜访两处重要的老朋友。,奶奶会去拜访两处重要的古迹。,奶奶会去拜访两位重要的古迹。,写的书中介绍的医生,奶奶会去拜访在一本重要的老朋友写的书中介绍的医生。,奶奶会去拜访在一位重要的老朋友写的书中介绍的医生。
39,他买了一道昂贵的五彩的沙拉。,他买了一处昂贵的五彩的沙拉。,他买了一处昂贵的五彩的仓库。,他买了一道昂贵的五彩的仓库。,包装用的布,他买了一匹为昂贵的灰色的礼盒包装用的布。,他买了一个为昂贵的灰色的礼盒包装用的布。
40,孩子听到了一首熟悉的歌谣。,孩子听到了一张熟悉的歌谣。,孩子听到了一张熟悉的专辑。,孩子听到了一首熟悉的专辑。,里提到的画中的妈妈的声音,孩子听到了在一张熟悉的歌谣里提到的画中的妈妈的声音。,孩子听到了在一首熟悉的歌谣里提到的画中的妈妈的声音。
